"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"MARINHA RAUPP" "JARU" 1200 28841 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.16 "TOTAL:66,63%"
"AGNALDO MUNIZ" "CACOAL" 1888 45235 "SUPLENTE" "DEPUTADO FEDERAL" 4.17 "TOTAL:54,14%"
"NILTON CAPIXABA" "PIMENTA BUENO" 824 19506 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.22 "TOTAL:60,48%"
"PROF. STELLA MARI" "THEOBROMA" 260 6168 "SUPLENTE" "DEPUTADO ESTADUAL" 4.22 "TOTAL:50,89%"
"BRITO" "PRIMAVERA DE RONDÔNIA" 93 2184 "SUPLENTE" "DEPUTADO ESTADUAL" 4.26 "TOTAL:77,7%"
"DONA MADALENA MENDONÇA" "ESPIGÃO DO OESTE" 725 16897 "SUPLENTE" "DEPUTADO ESTADUAL" 4.29 "TOTAL:74,13%"
"AMIR LANDO" "CAMPO NOVO DE RONDÔNIA" 271 6273 "SUPLENTE" "DEPUTADO FEDERAL" 4.32 "TOTAL:58,12%"
"NILTON CAPIXABA" "ALTO ALEGRE DOS PARECIS" 287 6585 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.36 "TOTAL:56,39%"
"SIDNEI SANTOS" "ARIQUEMES" 2158 49508 "SUPLENTE" "DEPUTADO ESTADUAL" 4.36 "TOTAL:49,52%"
"EXPEDITO NETTO" "OURO PRETO DO OESTE" 964 21953 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 4.39 "TOTAL:69,82%"
"LUCIO MOSQUINI" "PIMENTA BUENO" 859 19506 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.4 "TOTAL:60,48%"
"ANSELMO DE JESUS" "BURITIS" 781 17580 "NÃO ELEITO" "DEPUTADO FEDERAL" 4.44 "TOTAL:41,7%"
"NILTON CAPIXABA" "ALTA FLORESTA DO OESTE" 619 13945 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.44 "TOTAL:61,53%"
"EDSON MARTINS" "VALE DO ANARI" 215 4833 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.45 "TOTAL:46,93%"
"FLÁVIO LEMOS" "ITAPUÃ DO OESTE" 208 4671 "SUPLENTE" "DEPUTADO FEDERAL" 4.45 "TOTAL:47,29%"
"JUNIOR DONADON" "CHUPINGUAIA" 173 3867 "SUPLENTE" "DEPUTADO FEDERAL" 4.47 "TOTAL:61,54%"
"CLEIDE ALMEIDA" "MIRANTE DA SERRA" 308 6874 "SUPLENTE" "DEPUTADO ESTADUAL" 4.48 "TOTAL:59,42%"
"MARCOS ROGERIO" "OURO PRETO DO OESTE" 987 21953 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.5 "TOTAL:69,82%"
"NETO DA CANAA CONFECÇÕES" "CACOAL" 2037 45235 "SUPLENTE" "DEPUTADO ESTADUAL" 4.5 "TOTAL:51,58%"
"BETO" "ITAPUÃ DO OESTE" 211 4671 "SUPLENTE" "DEPUTADO ESTADUAL" 4.52 "TOTAL:20,49%"
"CELSO COELHO" "VALE DO ANARI" 219 4833 "SUPLENTE" "DEPUTADO ESTADUAL" 4.53 "TOTAL:46,93%"
"MARIANA CARVALHO" "VILHENA" 1931 42297 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.57 "TOTAL:55,34%"
"LEBRÃO" "ALVORADA DO OESTE" 432 9347 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.62 "TOTAL:63,02%"
"LAZINHO DA FETAGRO" "CACAULÂNDIA" 155 3297 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.7 "TOTAL:60,94%"
"EPIFÂNIA" "ITAPUÃ DO OESTE" 226 4671 "SUPLENTE" "DEPUTADO ESTADUAL" 4.84 "TOTAL:20,49%"
"JOÃO LEITE" "ARIQUEMES" 2395 49508 "SUPLENTE" "DEPUTADO FEDERAL" 4.84 "TOTAL:62,88%"
"MAURÃO DE CARVALHO" "SERINGUEIRAS" 339 6956 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.87 "TOTAL:46,7%"
"ANSELMO DE JESUS" "SÃO FRANCISCO DO GUAPORÉ" 413 8423 "NÃO ELEITO" "DEPUTADO FEDERAL" 4.9 "TOTAL:60,39%"
"MARINHA RAUPP" "CAMPO NOVO DE RONDÔNIA" 308 6273 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.91 "TOTAL:58,12%"
"ANA DA 8" "GUAJARÁ-MIRIM" 1065 21598 "SUPLENTE" "DEPUTADO ESTADUAL" 4.93 "TOTAL:58,21%"
"AMIR LANDO" "GUAJARÁ-MIRIM" 1077 21598 "SUPLENTE" "DEPUTADO FEDERAL" 4.99 "TOTAL:49,17%"
"JOSÉ BIANCO" "JI-PARANÁ" 3259 65328 "SUPLENTE" "DEPUTADO FEDERAL" 4.99 "TOTAL:69,38%"
"DONA MADALENA MENDONÇA" "SANTA LUZIA DO OESTE" 284 5655 "SUPLENTE" "DEPUTADO ESTADUAL" 5.02 "TOTAL:38,76%"
"EDGAR DO BOI" "VALE DO ANARI" 243 4833 "SUPLENTE" "DEPUTADO FEDERAL" 5.03 "TOTAL:55,07%"
"FATIMA CLEIDE" "VALE DO ANARI" 243 4833 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.03 "TOTAL:55,07%"
"MIGUEL QUEIROZ" "CANDEIAS DO JAMARI" 632 12569 "SUPLENTE" "DEPUTADO FEDERAL" 5.03 "TOTAL:52,92%"
"GERALDO DA RONDONIA" "ARIQUEMES" 2500 49508 "SUPLENTE" "DEPUTADO ESTADUAL" 5.05 "TOTAL:49,52%"
"ROBERTO SOBRINHO" "ITAPUÃ DO OESTE" 236 4671 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.05 "TOTAL:47,29%"
"DINHO SOUSA" "CANDEIAS DO JAMARI" 641 12569 "SUPLENTE" "DEPUTADO ESTADUAL" 5.1 "TOTAL:39,45%"
"ANSELMO DE JESUS" "NOVA MAMORÉ" 686 13386 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.12 "TOTAL:59,05%"
"PROF. CLOVIS MORALI" "JARU" 1476 28841 "SUPLENTE" "DEPUTADO ESTADUAL" 5.12 "TOTAL:60,13%"
"GERALDO DA RONDONIA" "ALTO PARAÍSO" 487 9467 "SUPLENTE" "DEPUTADO ESTADUAL" 5.14 "TOTAL:57,51%"
"EDSON MARTINS" "COLORADO DO OESTE" 561 10811 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.19 "TOTAL:63,31%"
"GUILHERME MOREIRA MENDES" "SÃO FELIPE DO OESTE" 197 3784 "SUPLENTE" "DEPUTADO FEDERAL" 5.21 "TOTAL:50,18%"
"AMIR LANDO" "PRESIDENTE MÉDICI" 651 12419 "SUPLENTE" "DEPUTADO FEDERAL" 5.24 "TOTAL:52,4%"
"MARCOS ROGERIO" "BURITIS" 924 17580 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.26 "TOTAL:41,7%"
"EZEQUIEL NEIVA" "VILHENA" 2227 42297 "SUPLENTE" "DEPUTADO ESTADUAL" 5.27 "TOTAL:55,15%"
"LAZINHO DA FETAGRO" "MINISTRO ANDREAZZA" 300 5693 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.27 "TOTAL:62,25%"
"MARINHA RAUPP" "OURO PRETO DO OESTE" 1162 21953 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.29 "TOTAL:69,82%"
"MARINHA RAUPP" "VALE DO ANARI" 256 4833 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.3 "TOTAL:55,07%"
"ANTENOR DA SITHATHI" "ITAPUÃ DO OESTE" 248 4671 "SUPLENTE" "DEPUTADO ESTADUAL" 5.31 "TOTAL:20,49%"
"EXPEDITO NETTO" "CABIXI" 203 3817 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 5.32 "TOTAL:48,61%"
"MARCOS ROGERIO" "CABIXI" 203 3817 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.32 "TOTAL:48,61%"
"CLÁUDIO CARVALHO" "CASTANHEIRAS" 123 2306 "SUPLENTE" "DEPUTADO ESTADUAL" 5.33 "TOTAL:36,03%"
"GLAUCIONE" "SERINGUEIRAS" 372 6956 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.35 "TOTAL:46,7%"
"FATIMA CLEIDE" "COLORADO DO OESTE" 583 10811 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.39 "TOTAL:46,65%"
"NILTON CAPIXABA" "CEREJEIRAS" 553 10231 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.41 "TOTAL:52,09%"
"CLEITON ROQUE" "CORUMBIARA" 256 4711 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.43 "TOTAL:50,33%"
"MÁRCIO MATEUS" "ROLIM DE MOURA" 1556 28425 "SUPLENTE" "DEPUTADO ESTADUAL" 5.47 "TOTAL:33,34%"
"LUIZ DA FARMACIA" "SÃO MIGUEL DO GUAPORÉ" 642 11715 "SUPLENTE" "DEPUTADO ESTADUAL" 5.48 "TOTAL:48,26%"
"EXPEDITO NETTO" "BURITIS" 965 17580 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 5.49 "TOTAL:41,7%"
"EXPEDITO NETTO" "ROLIM DE MOURA" 1564 28425 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 5.5 "TOTAL:57%"
"GEOVANE" "NOVA UNIÃO" 237 4307 "SUPLENTE" "DEPUTADO ESTADUAL" 5.5 "TOTAL:51,15%"
"DR. AIRTON PARAIBINHA" "ROLIM DE MOURA" 1577 28425 "SUPLENTE" "DEPUTADO ESTADUAL" 5.55 "TOTAL:33,34%"
"ANSELMO DE JESUS" "CAMPO NOVO DE RONDÔNIA" 349 6273 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.56 "TOTAL:58,12%"
"AGNALDO MUNIZ" "CANDEIAS DO JAMARI" 700 12569 "SUPLENTE" "DEPUTADO FEDERAL" 5.57 "TOTAL:52,92%"
"NILTON CAPIXABA" "SANTA LUZIA DO OESTE" 315 5655 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.57 "TOTAL:60,88%"
"MARINHA RAUPP" "ARIQUEMES" 2768 49508 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.59 "TOTAL:62,88%"
