"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"RAIMUNDO FERNANDES" "JOSÉ DA PENHA" 70 4159 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.68 "TOTAL:78,67%"
"ALBERT DICKSON OFTALMOLOGISTA" "SENADOR GEORGINO AVELINO" 51 3020 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.69 "TOTAL:66,56%"
"ABRAÃO LINCOLN" "RIACHO DE SANTANA" 46 2701 "SUPLENTE" "DEPUTADO FEDERAL" 1.7 "TOTAL:66,41%"
"GEORGE SOARES" "RAFAEL FERNANDES" 59 3477 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:81,62%"
"KELPS LIMA" "CARAÚBAS" 244 14349 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:72,89%"
"BISPO FRANCISCO DE ASSIS" "LUCRÉCIA" 47 2745 "SUPLENTE" "DEPUTADO ESTADUAL" 1.71 "TOTAL:79,6%"
"MINEIRO" "CARAÚBAS" 245 14349 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.71 "TOTAL:72,89%"
"NILSON VIANNA" "RAFAEL GODEIRO" 44 2572 "SUPLENTE" "DEPUTADO ESTADUAL" 1.71 "TOTAL:81,03%"
"GUSTAVO FERNANDES" "ALEXANDRIA" 144 8375 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.72 "TOTAL:73,54%"
"ADENUBIO MELO" "GROSSOS" 113 6529 "SUPLENTE" "DEPUTADO ESTADUAL" 1.73 "TOTAL:71,83%"
"ADRIANO GADELHA" "LAGOA SALGADA" 112 6477 "SUPLENTE" "DEPUTADO FEDERAL" 1.73 "TOTAL:68,51%"
"RAIMUNDO FERNANDES" "PAU DOS FERROS" 274 15857 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.73 "TOTAL:76,69%"
"JR MOURA" "ITAJÁ" 91 5229 "SUPLENTE" "DEPUTADO ESTADUAL" 1.74 "TOTAL:72,93%"
"JÁCOME" "RUY BARBOSA" 54 3062 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.76 "TOTAL:81,18%"
"JÁCOME" "BODÓ" 40 2271 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.76 "TOTAL:76,36%"
"BETINHO ROSADO SEGUNDO" "PORTALEGRE" 91 5089 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.79 "TOTAL:73,63%"
"ADRIANO GADELHA" "TENENTE ANANIAS" 114 6333 "SUPLENTE" "DEPUTADO FEDERAL" 1.8 "TOTAL:80,44%"
"AMAZAN" "JUCURUTU" 221 12294 "SUPLENTE" "DEPUTADO ESTADUAL" 1.8 "TOTAL:78,52%"
"FELIPE MAIA" "SÃO TOMÉ" 135 7455 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.81 "TOTAL:79,86%"
"WALTER ALVES" "BODÓ" 41 2271 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.81 "TOTAL:76,36%"
"LAURA HELENA" "AREIA BRANCA" 302 16546 "SUPLENTE" "DEPUTADO ESTADUAL" 1.83 "TOTAL:75,35%"
"FABIO FARIA" "IELMO MARINHO" 151 8073 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.87 "TOTAL:73,45%"
"ABRAÃO LINCOLN" "ALTO DO RODRIGUES" 172 9138 "SUPLENTE" "DEPUTADO FEDERAL" 1.88 "TOTAL:69,29%"
"LAURA HELENA" "SERRINHA DOS PINTOS" 60 3196 "SUPLENTE" "DEPUTADO ESTADUAL" 1.88 "TOTAL:81,35%"
"ADRIANO GADELHA" "MARCELINO VIEIRA" 100 5298 "SUPLENTE" "DEPUTADO FEDERAL" 1.89 "TOTAL:76,66%"
"ROGERIO MARINHO" "LAGOA NOVA" 173 9148 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.89 "TOTAL:67,02%"
"ROGERIO MARINHO" "PASSA E FICA" 118 6247 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.89 "TOTAL:75,32%"
"AMAZAN" "TIMBAÚBA DOS BATISTAS" 38 2003 "SUPLENTE" "DEPUTADO ESTADUAL" 1.9 "TOTAL:82,28%"
"ADRIANO GADELHA" "ESPÍRITO SANTO" 110 5751 "SUPLENTE" "DEPUTADO FEDERAL" 1.91 "TOTAL:74,4%"
"ABRAÃO LINCOLN" "SENADOR GEORGINO AVELINO" 59 3020 "SUPLENTE" "DEPUTADO FEDERAL" 1.95 "TOTAL:68,44%"
"EMANUEL MARQUES" "ARÊS" 174 8822 "SUPLENTE" "DEPUTADO FEDERAL" 1.97 "TOTAL:68,22%"
"DRA, HELENEIDE AMORIM" "RAFAEL GODEIRO" 51 2572 "SUPLENTE" "DEPUTADO FEDERAL" 1.98 "TOTAL:69,87%"
"FELIPE MAIA" "OLHO D'ÁGUA DO BORGES" 69 3493 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.98 "TOTAL:71,94%"
"GETULIO REGO" "RAFAEL GODEIRO" 51 2572 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.98 "TOTAL:81,03%"
"JÁCOME" "SÃO MIGUEL" 260 13122 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.98 "TOTAL:64,24%"
"ASSIS DO PT" "MONTANHAS" 137 6900 "SUPLENTE" "DEPUTADO ESTADUAL" 1.99 "TOTAL:68,38%"
"JOSE ADECIO" "RUY BARBOSA" 61 3062 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.99 "TOTAL:78,28%"
"FABIO FARIA" "VILA FLOR" 42 2101 "ELEITO POR QP" "DEPUTADO FEDERAL" 2 "TOTAL:71,35%"
"JÁCOME" "SERRINHA DOS PINTOS" 64 3196 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 2 "TOTAL:81%"
"JOSE ADECIO" "RIACHUELO" 104 5193 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 2 "TOTAL:68,39%"
"EMANUEL MARQUES" "SENADOR GEORGINO AVELINO" 61 3020 "SUPLENTE" "DEPUTADO FEDERAL" 2.02 "TOTAL:68,44%"
"FABIO FARIA" "RIACHO DA CRUZ" 47 2331 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.02 "TOTAL:83,36%"
"FELIPE MAIA" "SERRA DE SÃO BENTO" 85 4191 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.03 "TOTAL:76,98%"
"ABRAÃO LINCOLN" "TABOLEIRO GRANDE" 42 2040 "SUPLENTE" "DEPUTADO FEDERAL" 2.06 "TOTAL:82,31%"
"DISON LISBOA" "BOM JESUS" 124 6015 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.06 "TOTAL:52,99%"
"VALERIA BARBALHO CAVALCANTI" "PASSAGEM" 66 3158 "SUPLENTE" "DEPUTADO ESTADUAL" 2.09 "TOTAL:74,35%"
"IRMÃO RICARDO MENDONÇA" "ESPÍRITO SANTO" 121 5751 "SUPLENTE" "DEPUTADO FEDERAL" 2.1 "TOTAL:74,4%"
"GALENO" "MAJOR SALES" 48 2272 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.11 "TOTAL:79,74%"
"GUSTAVO CARVALHO" "MAJOR SALES" 48 2272 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.11 "TOTAL:79,74%"
"RAFAEL MOTTA" "PEDRO AVELINO" 109 5163 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.11 "TOTAL:65,3%"
"FELIPE MAIA" "GUAMARÉ" 215 10031 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.14 "TOTAL:71,71%"
"WALTER ALVES" "ALEXANDRIA" 179 8375 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.14 "TOTAL:75,23%"
"GALENO" "TENENTE ANANIAS" 136 6333 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.15 "TOTAL:76,67%"
"AMAZAN" "BODÓ" 50 2271 "SUPLENTE" "DEPUTADO ESTADUAL" 2.2 "TOTAL:75,25%"
"FABIO FARIA" "SÃO JOSÉ DO CAMPESTRE" 179 8123 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.2 "TOTAL:58,8%"
"BETINHO ROSADO SEGUNDO" "RODOLFO FERNANDES" 84 3801 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.21 "TOTAL:78,85%"
"FABIO FARIA" "CARAÚBAS" 320 14349 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.23 "TOTAL:62,55%"
"PROFESSOR LAVOUSIER" "ENCANTO" 78 3486 "SUPLENTE" "DEPUTADO ESTADUAL" 2.24 "TOTAL:76,97%"
"FABIO FARIA" "GUAMARÉ" 229 10031 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.28 "TOTAL:71,71%"
"JACÓ JÁCOME" "ITAÚ" 91 3987 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.28 "TOTAL:77,46%"
"WALTER ALVES" "PASSAGEM" 73 3158 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.31 "TOTAL:77,14%"
"ADENUBIO MELO" "TIBAU" 75 3233 "SUPLENTE" "DEPUTADO ESTADUAL" 2.32 "TOTAL:69,04%"
"RAFAEL MOTTA" "ALTO DO RODRIGUES" 212 9138 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.32 "TOTAL:69,29%"
"FABIO FARIA" "SÃO FRANCISCO DO OESTE" 68 2917 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.33 "TOTAL:77,91%"
"LAURA HELENA" "POÇO BRANCO" 205 8659 "SUPLENTE" "DEPUTADO ESTADUAL" 2.37 "TOTAL:52,12%"
"RAFAEL MOTTA" "ESPÍRITO SANTO" 137 5751 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.38 "TOTAL:74,4%"
"FABIO FARIA" "VIÇOSA" 32 1332 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.4 "TOTAL:73,79%"
"GUSTAVO FERNANDES" "SÃO MIGUEL" 315 13122 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.4 "TOTAL:83,62%"
"ABRAÃO LINCOLN" "SÃO JOSÉ DO CAMPESTRE" 196 8123 "SUPLENTE" "DEPUTADO FEDERAL" 2.41 "TOTAL:58,8%"
